"n","b0_d1","b1_d1","b2_d1","total_d1","b0_d2","b1_d2","b2_d2","total_d2"
20,-0.190676084440797,-0.157382069075528,-0.210685976606468,0.558744130122793,-0.129422243704055,-0.191854154252169,-0.202787804372152,0.524064202328376
60,-0.0147821878243588,-0.0598876155294356,-0.0739574637948486,0.148627267148643,-0.0431516480123369,-0.0149860824774408,-0.0771438028162408,0.135281533306019
100,-0.00891578159424685,0.00642609587436115,-0.0179587661846984,0.0333006436533064,-0.069200692425474,-0.0254486523267811,-0.0440101682915198,0.138659513043775
200,-0.00505033072244198,-0.0157097221301946,-0.0336146636801727,0.0543747165328093,0.000951272391373592,-0.0203896315369481,-0.0180277921795533,0.039368696107875
400,0.0044875136971392,-0.0143982841118401,-0.0203930637271032,0.0392788615360825,0.0285365355376261,0.0250681491837613,-0.0499423614507002,0.103547046172088
600,-0.0502588258426376,0.00143338913318482,-0.0133853864239149,0.0650776013997374,-0.0230498740560404,0.00245539854919173,-0.0256611039819828,0.0511663765872149
