"n","size_1","size_5","power0_1","power0_5","power04_1","power04_5","beta0_mean","beta0_median","beta0_sd","beta1_mean","beta1_median","beta1_sd"
5,0.0118,0.0524,0.941,0.9714,0.6288,0.7766,-2.99580751976449,-3.02743246292304,4.51881690650102,0.801787533908545,0.801707302481703,0.162645674275971
10,0.014,0.0514,0.9994,0.9994,0.9474,0.983,-3.0277750001029,-2.99433737450892,2.49126332640034,0.801275463083474,0.800562841489799,0.0875728554486431
30,0.011,0.0494,1,1,1,1,-2.99655399024666,-2.96559598707473,1.24753515605337,0.799648837019249,0.79965259433196,0.0432833149831572
100,0.0102,0.0532,1,1,1,1,-3.01290303846473,-3.01630997539836,0.675780227764826,0.800619002852278,0.800795115588096,0.0231954446814091
200,0.007,0.043,1,1,1,1,-2.994222214518,-2.99067198400476,0.452709901001626,0.799701927479288,0.799648245252272,0.0156598641537229
500,0.011,0.052,1,1,1,1,-3.00465494495809,-3.00434623595919,0.298290048818205,0.800127469684455,0.799988871147568,0.0101704946122355
