"n","beta0_mean_FGLS","beta0_mean_MCC","beta0_median_FGLS","beta0_median_MCC","beta0_sd_FGLS","beta0_sd_MCC","beta1_mean_FGLS","beta1_mean_MCC","beta1_median_FGLS","beta1_median_MCC","beta1_sd_FGLS","beta1_sd_MCC","mean_abs_diff_beta0","mean_abs_diff_beta1","max_diff_beta0","max_diff_beta1"
5,-2.99580751976449,-2.99580751976449,-3.02743246292304,-3.02743246292305,4.51881690650102,4.51881690650102,0.801787533908545,0.801787533908545,0.801707302481703,0.801707302481703,0.162645674275971,0.162645674275971,1.4662730751791e-14,4.40614211782986e-16,3.62021523869771e-12,6.30606677987089e-14
10,-3.0277750001029,-3.0277750001029,-2.99433737450892,-2.99433737450891,2.49126332640034,2.49126332640034,0.801275463083474,0.801275463083474,0.800562841489799,0.800562841489799,0.0875728554486431,0.0875728554486431,7.73695552069853e-15,2.54574139546548e-16,3.23296944770846e-13,6.21724893790088e-15
30,-2.99655399024666,-2.99655399024666,-2.96559598707473,-2.96559598707472,1.24753515605337,1.24753515605337,0.799648837019249,0.799648837019249,0.79965259433196,0.79965259433196,0.0432833149831572,0.0432833149831572,5.73124464553487e-15,2.03881356242164e-16,1.61648472385423e-13,3.33066907387547e-15
100,-3.01290303846473,-3.01290303846473,-3.01630997539836,-3.01630997539838,0.675780227764826,0.675780227764826,0.800619002852278,0.800619002852278,0.800795115588096,0.800795115588096,0.0231954446814091,0.0231954446814091,4.59843274569494e-15,1.75770509258655e-16,7.8159700933611e-14,2.33146835171283e-15
200,-2.994222214518,-2.994222214518,-2.99067198400476,-2.99067198400476,0.452709901001626,0.452709901001626,0.799701927479288,0.799701927479288,0.799648245252272,0.799648245252272,0.0156598641537229,0.0156598641537229,4.04991595814863e-15,1.62625468647093e-16,6.83897383169096e-14,2.55351295663786e-15
500,-3.00465494495809,-3.00465494495809,-3.00434623595919,-3.00434623595919,0.298290048818205,0.298290048818205,0.800127469684455,0.800127469684455,0.799988871147568,0.799988871147568,0.0101704946122355,0.0101704946122355,4.07212041864113e-15,1.65090163761761e-16,6.88338275267597e-14,2.44249065417534e-15
